Year,Month,Day,Hour,Minute,Second,Decimal_Day,TIMESTAMP_END,Rswin,Rswout,LW_IN,Rlw_out
2017,1,1,0,2,30,1.001736,1/1/17 0:02,-3.290617,1.70253,171.9561,283.8521
2017,1,1,0,7,30,1.005208,1/1/17 0:07,-3.654034,1.622187,171.6557,283.3656
2017,1,1,0,12,30,1.008681,1/1/17 0:12,-3.165527,1.812894,171.4447,282.8778
2017,1,1,0,17,30,1.012153,1/1/17 0:17,-3.504367,1.708987,171.0463,282.6296
2017,1,1,0,22,30,1.015625,1/1/17 0:22,-3.044054,1.99008,171.1157,282.3176
2017,1,1,0,27,30,1.019097,1/1/17 0:27,-3.190187,1.753583,170.7341,281.9626
2017,1,1,0,32,30,1.022569,1/1/17 0:32,-3.14178,1.728907,170.3264,282.0543
2017,1,1,0,37,30,1.026042,1/1/17 0:37,-3.115294,1.711643,170.0596,282.1004
2017,1,1,0,42,30,1.029514,1/1/17 0:42,-3.3281,1.582893,169.7629,281.4586
2017,1,1,0,47,30,1.032986,1/1/17 0:47,-2.956373,1.72075,170.0966,281.8676
2017,1,1,0,52,30,1.036458,1/1/17 0:52,-2.74448,2.003783,170.3243,282.2549
2017,1,1,0,57,30,1.039931,1/1/17 0:57,-2.910707,1.923437,170.3664,282.6269
2017,1,1,1,2,30,1.043403,1/1/17 1:02,-3.009347,1.913443,170.5344,282.4527
2017,1,1,1,7,30,1.046875,1/1/17 1:07,-2.58008,2.141757,170.6307,282.9202
2017,1,1,1,12,30,1.050347,1/1/17 1:12,-3.072367,1.779374,170.5833,283.0943
2017,1,1,1,17,30,1.053819,1/1/17 1:17,-2.822114,1.838137,170.7125,283.3401
2017,1,1,1,22,30,1.057292,1/1/17 1:22,-3.23768,1.762303,170.4127,283.1385
2017,1,1,1,27,30,1.060764,1/1/17 1:27,-2.885134,1.92745,170.4819,283.315
2017,1,1,1,32,30,1.064236,1/1/17 1:32,-2.93354,1.892864,170.6241,283.4358
2017,1,1,1,37,30,1.067708,1/1/17 1:37,-3.409387,1.773397,170.3474,283.1419
2017,1,1,1,42,30,1.071181,1/1/17 1:42,-2.800207,1.952117,170.4069,283.0856
2017,1,1,1,47,30,1.074653,1/1/17 1:47,-3.291567,1.749607,169.9091,282.9141
2017,1,1,1,52,30,1.078125,1/1/17 1:52,-3.17192,1.613743,169.4246,282.5386
2017,1,1,1,57,30,1.081597,1/1/17 1:57,-2.9856,1.692123,169.4264,282.3956
