TIMESTAMP_END,T_air,RH,VF_2,T_win
1/1/17 0:00,-5.355057,33.98414,-5.355057,-5.355057
1/1/17 0:05,-5.523876,34.55185,-5.523876,-5.523876
1/1/17 0:10,-5.697448,35.24829,-5.697448,-5.697448
1/1/17 0:15,-5.756098,36.48063,-5.756098,-5.756098
1/1/17 0:20,-5.907161,36.52558,-5.907161,-5.907161
1/1/17 0:25,-5.869435,36.91938,-5.869435,-5.869435
1/1/17 0:30,-5.99149,37.79234,-5.99149,-5.99149
1/1/17 0:35,-6.01289,39.78759,-6.01289,-6.01289
1/1/17 0:40,-6.075661,41.97067,-6.075661,-6.075661
1/1/17 0:45,-6.277449,42.2835,-6.277449,-6.277449
1/1/17 0:50,-6.215153,44.49286,-6.215153,-6.215153
1/1/17 0:55,-6.044117,45.16111,-6.044117,-6.044117
1/1/17 1:00,-5.992283,44.9855,-5.992283,-5.992283
1/1/17 1:05,-6.044117,44.75769,-6.044117,-6.044117
1/1/17 1:10,-5.769096,43.12703,-5.769096,-5.769096
1/1/17 1:15,-5.820772,44.35167,-5.820772,-5.820772
1/1/17 1:20,-5.822357,45.37827,-5.822357,-5.822357
1/1/17 1:25,-5.896382,45.91224,-5.896382,-5.896382
1/1/17 1:30,-5.843122,45.42085,-5.843122,-5.843122
1/1/17 1:35,-5.81237,46.03441,-5.81237,-5.81237
1/1/17 1:40,-5.952179,46.66983,-5.952179,-5.952179
1/1/17 1:45,-5.891786,45.08049,-5.891786,-5.891786
1/1/17 1:50,-6.034606,46.57325,-6.034606,-6.034606
1/1/17 1:55,-6.206276,49.07234,-6.206276,-6.206276
1/1/17 2:00,-6.212775,49.14526,-6.212775,-6.212775
1/1/17 2:05,-6.256207,49.91677,-6.256207,-6.256207
1/1/17 2:10,-6.270315,50.13167,-6.270315,-6.270315
1/1/17 2:15,-6.10451,49.36922,-6.10451,-6.10451
1/1/17 2:20,-6.203264,49.16518,-6.203264,-6.203264
1/1/17 2:25,-6.228468,49.28928,-6.228468,-6.228468
1/1/17 2:30,-6.354171,49.43998,-6.354171,-6.354171
1/1/17 2:35,-6.279193,49.06385,-6.279193,-6.279193
1/1/17 2:40,-6.326272,49.00588,-6.326272,-6.326272
1/1/17 2:45,-6.159039,47.05989,-6.159039,-6.159039
1/1/17 2:50,-6.181706,47.12499,-6.181706,-6.181706
1/1/17 2:55,-6.228627,47.49433,-6.228627,-6.228627
1/1/17 3:00,-6.144931,45.86673,-6.144931,-6.144931
1/1/17 3:05,-6.361462,46.06227,-6.361462,-6.361462
1/1/17 3:10,-6.165221,43.90319,-6.165221,-6.165221
1/1/17 3:15,-6.122422,43.09567,-6.122422,-6.122422
1/1/17 3:20,-6.143981,42.94689,-6.143981,-6.143981
1/1/17 3:25,-6.123691,43.02637,-6.123691,-6.123691
1/1/17 3:30,-6.177585,42.79019,-6.177585,-6.177585
1/1/17 3:35,-6.253988,43.11684,-6.253988,-6.253988
1/1/17 3:40,-6.310579,43.13858,-6.310579,-6.310579
1/1/17 3:45,-6.221493,42.61548,-6.221493,-6.221493
1/1/17 3:50,-6.188839,42.887,-6.188839,-6.188839
1/1/17 3:55,-6.236869,43.75713,-6.236869,-6.236869
1/1/17 4:00,-6.209922,43.77128,-6.209922,-6.209922
1/1/17 4:05,-6.256843,44.3468,-6.256843,-6.256843
1/1/17 4:10,-6.497946,46.185,-6.497946,-6.497946
1/1/17 4:15,-6.430735,45.64424,-6.430735,-6.430735
1/1/17 4:20,-6.414566,45.55151,-6.414566,-6.414566
1/1/17 4:25,-6.456573,46.46795,-6.456573,-6.456573
1/1/17 4:30,-6.547404,46.80864,-6.547404,-6.547404
1/1/17 4:35,-6.619052,47.81385,-6.619052,-6.619052
1/1/17 4:40,-6.671837,48.13643,-6.671837,-6.671837
1/1/17 4:45,-6.690701,47.73878,-6.690701,-6.690701
1/1/17 4:50,-6.835265,49.49037,-6.835265,-6.835265
1/1/17 4:55,-6.890586,49.42912,-6.890586,-6.890586
1/1/17 5:00,-6.936554,49.98856,-6.936554,-6.936554
1/1/17 5:05,-7.007886,51.23436,-7.007886,-7.007886
1/1/17 5:10,-7.136916,52.69157,-7.136916,-7.136916
1/1/17 5:15,-7.216965,52.85993,-7.216965,-7.216965
1/1/17 5:20,-7.29749,52.74512,-7.29749,-7.29749
1/1/17 5:25,-7.285284,52.04483,-7.285284,-7.285284
1/1/17 5:30,-7.386099,53.2723,-7.386099,-7.386099
1/1/17 5:35,-7.42668,53.53736,-7.42668,-7.42668
1/1/17 5:40,-7.605805,54.63824,-7.605805,-7.605805
1/1/17 5:45,-7.527181,54.2552,-7.527181,-7.527181
1/1/17 5:50,-7.449348,53.08649,-7.449348,-7.449348
1/1/17 5:55,-7.557775,53.63076,-7.557775,-7.557775
1/1/17 6:00,-7.600415,53.98788,-7.600415,-7.600415
1/1/17 6:05,-7.599782,52.63371,-7.599782,-7.599782
1/1/17 6:10,-7.582029,51.10189,-7.582029,-7.582029
1/1/17 6:15,-7.581078,50.50056,-7.581078,-7.581078
1/1/17 6:20,-7.494684,50.02887,-7.494684,-7.494684
1/1/17 6:25,-7.601367,50.53419,-7.601367,-7.601367
1/1/17 6:30,-7.604379,50.29981,-7.604379,-7.604379
1/1/17 6:35,-7.513548,49.57302,-7.513548,-7.513548
1/1/17 6:40,-7.602635,49.89492,-7.602635,-7.602635
1/1/17 6:45,-7.555554,49.91473,-7.555554,-7.555554
1/1/17 6:50,-7.685379,50.49705,-7.685379,-7.685379
1/1/17 6:55,-7.682526,51.09793,-7.682526,-7.682526
1/1/17 7:00,-7.672223,50.37884,-7.672223,-7.672223
1/1/17 7:05,-7.645592,50.15013,-7.645592,-7.645592
1/1/17 7:10,-7.621023,50.07698,-7.621023,-7.621023
1/1/17 7:15,-7.761308,50.61118,-7.761308,-7.761308
1/1/17 7:20,-7.770501,49.87794,-7.770501,-7.770501
1/1/17 7:25,-7.637984,49.11095,-7.637984,-7.637984
1/1/17 7:30,-7.608342,48.91247,-7.608342,-7.608342
1/1/17 7:35,-7.584723,48.70493,-7.584723,-7.584723
1/1/17 7:40,-7.453787,48.27275,-7.453787,-7.453787
1/1/17 7:45,-7.547313,49.68421,-7.547313,-7.547313
1/1/17 7:50,-7.491197,49.81102,-7.491197,-7.491197
1/1/17 7:55,-7.414157,49.798,-7.414157,-7.414157
1/1/17 8:00,-7.351225,50.1824,-7.351225,-7.351225
1/1/17 8:05,-7.347738,51.00282,-7.347738,-7.347738
1/1/17 8:10,-7.302086,51.31781,-7.302086,-7.302086
1/1/17 8:15,-7.222513,50.79856,-7.222513,-7.222513
1/1/17 8:20,-7.238205,51.72859,-7.238205,-7.238205
1/1/17 8:25,-7.202857,51.78781,-7.202857,-7.202857
1/1/17 8:30,-7.055915,50.32132,-7.055915,-7.055915
1/1/17 8:35,-6.971111,50.11401,-6.971111,-6.971111
1/1/17 8:40,-6.862528,50.00656,-6.862528,-6.862528
1/1/17 8:45,-6.905962,51.10348,-6.905962,-6.905962
1/1/17 8:50,-6.918801,51.71749,-6.918801,-6.918801
1/1/17 8:55,-6.895182,51.9376,-6.895182,-6.895182
1/1/17 9:00,-6.824803,52.17051,-6.824803,-6.824803
1/1/17 9:05,-6.836691,52.75079,-6.836691,-6.836691
1/1/17 9:10,-6.79532,52.71036,-6.79532,-6.79532
1/1/17 9:15,-6.749509,52.97078,-6.749509,-6.749509
1/1/17 9:20,-6.637599,53.02887,-6.637599,-6.637599
1/1/17 9:25,-6.514908,52.11186,-6.514908,-6.514908
1/1/17 9:30,-6.484472,52.62896,-6.484472,-6.484472
1/1/17 9:35,-6.435332,53.4624,-6.435332,-6.435332
1/1/17 9:40,-6.445477,53.95436,-6.445477,-6.445477
1/1/17 9:45,-6.287277,52.92458,-6.287277,-6.287277
1/1/17 9:50,-6.344026,52.52864,-6.344026,-6.344026
1/1/17 9:55,-6.135103,51.13994,-6.135103,-6.135103
1/1/17 10:00,-6.107205,50.53917,-6.107205,-6.107205
1/1/17 10:05,-6.068528,50.51403,-6.068528,-6.068528
1/1/17 10:10,-5.931572,50.68817,-5.931572,-5.931572
1/1/17 10:15,-6.116716,51.21286,-6.116716,-6.116716
1/1/17 10:20,-6.132092,51.9804,-6.132092,-6.132092
1/1/17 10:25,-5.899553,51.39118,-5.899553,-5.899553
1/1/17 10:30,-6.026839,51.70674,-6.026839,-6.026839
1/1/17 10:35,-6.1248,51.97089,-6.1248,-6.1248
1/1/17 10:40,-6.063614,51.19134,-6.063614,-6.063614
1/1/17 10:45,-5.92967,50.37918,-5.92967,-5.92967
1/1/17 10:50,-5.837257,50.68115,-5.837257,-5.837257
1/1/17 10:55,-5.886079,50.16949,-5.886079,-5.886079
1/1/17 11:00,-5.751501,48.63303,-5.751501,-5.751501
1/1/17 11:05,-5.570162,48.38247,-5.570162,-5.570162
1/1/17 11:10,-5.55653,48.75192,-5.55653,-5.55653
1/1/17 11:15,-5.670184,49.06091,-5.670184,-5.670184
1/1/17 11:20,-5.590134,48.7321,-5.590134,-5.590134
1/1/17 11:25,-5.335876,47.55853,-5.335876,-5.335876
1/1/17 11:30,-5.18148,47.02252,-5.18148,-5.18148
1/1/17 11:35,-5.103808,46.4615,-5.103808,-5.103808
1/1/17 11:40,-5.080189,47.01233,-5.080189,-5.080189
1/1/17 11:45,-4.986825,47.30117,-4.986825,-4.986825
1/1/17 11:50,-4.94466,47.60393,-4.94466,-4.94466
1/1/17 11:55,-5.045475,47.91734,-5.045475,-5.045475
1/1/17 12:00,-5.060534,47.65828,-5.060534,-5.060534
1/1/17 12:05,-5.216989,48.1482,-5.216989,-5.216989
1/1/17 12:10,-4.868415,46.22202,-4.868415,-4.868415
1/1/17 12:15,-4.948148,46.27173,-4.948148,-4.948148
1/1/17 12:20,-4.775051,46.56623,-4.775051,-4.775051
1/1/17 12:25,-5.010919,47.20414,-5.010919,-5.010919
1/1/17 12:30,-5.285309,48.31091,-5.285309,-5.285309
1/1/17 12:35,-5.11538,48.81091,-5.11538,-5.11538
1/1/17 12:40,-4.937368,47.81883,-4.937368,-4.937368
1/1/17 12:45,-4.91058,47.57869,-4.91058,-4.91058
1/1/17 12:50,-4.817057,47.84227,-4.817057,-4.817057
1/1/17 12:55,-4.753652,47.37884,-4.753652,-4.753652
1/1/17 13:00,-4.910263,46.79381,-4.910263,-4.910263
1/1/17 13:05,-4.666628,46.13145,-4.666628,-4.666628
1/1/17 13:10,-4.681053,46.73516,-4.681053,-4.681053
1/1/17 13:15,-4.466108,47.35575,-4.466108,-4.466108
1/1/17 13:20,-4.429809,47.33593,-4.429809,-4.429809
1/1/17 13:25,-4.290634,46.4119,-4.290634,-4.290634
1/1/17 13:30,-4.271136,46.50192,-4.271136,-4.271136
1/1/17 13:35,-4.251163,45.84385,-4.251163,-4.251163
1/1/17 13:40,-4.09645,46.1045,-4.09645,-4.09645
1/1/17 13:45,-4.013228,46.01562,-4.013228,-4.013228
1/1/17 13:50,-4.366561,47.56204,-4.366561,-4.366561
1/1/17 13:55,-4.422042,47.24263,-4.422042,-4.422042
1/1/17 14:00,-4.428541,47.16405,-4.428541,-4.428541
1/1/17 14:05,-4.401277,45.58887,-4.401277,-4.401277
1/1/17 14:10,-4.489093,45.88802,-4.489093,-4.489093
1/1/17 14:15,-4.363392,45.36639,-4.363392,-4.363392
1/1/17 14:20,-4.645229,46.04732,-4.645229,-4.645229
1/1/17 14:25,-4.552498,45.03679,-4.552498,-4.552498
1/1/17 14:30,-4.480375,45.18896,-4.480375,-4.480375
1/1/17 14:35,-4.565972,45.76415,-4.565972,-4.565972
1/1/17 14:40,-4.503676,45.34986,-4.503676,-4.503676
1/1/17 14:45,-4.536964,45.32393,-4.536964,-4.536964
1/1/17 14:50,-4.641266,45.82381,-4.641266,-4.641266
1/1/17 14:55,-4.57358,46.14798,-4.57358,-4.57358
1/1/17 15:00,-4.386375,45.82336,-4.386375,-4.386375
1/1/17 15:05,-4.429492,45.7295,-4.429492,-4.429492
1/1/17 15:10,-4.54378,46.65568,-4.54378,-4.54378
1/1/17 15:15,-4.618281,45.99275,-4.618281,-4.618281
1/1/17 15:20,-4.510968,46.21738,-4.510968,-4.510968
1/1/17 15:25,-4.535379,45.87273,-4.535379,-4.535379
1/1/17 15:30,-4.585152,46.05955,-4.585152,-4.585152
1/1/17 15:35,-4.595614,46.79845,-4.595614,-4.595614
1/1/17 15:40,-4.753176,47.05275,-4.753176,-4.753176
1/1/17 15:45,-4.80723,47.58298,-4.80723,-4.80723
1/1/17 15:50,-4.789634,47.85268,-4.789634,-4.789634
1/1/17 15:55,-4.578019,46.95414,-4.578019,-4.578019
1/1/17 16:00,-4.578019,47.14934,-4.578019,-4.578019
1/1/17 16:05,-4.566289,47.17843,-4.566289,-4.566289
1/1/17 16:10,-4.722108,47.8057,-4.722108,-4.722108
1/1/17 16:15,-4.94149,49.02966,-4.94149,-4.94149
1/1/17 16:20,-5.095407,49.90987,-5.095407,-5.095407
1/1/17 16:25,-5.04817,49.71716,-5.04817,-5.04817
1/1/17 16:30,-5.000933,49.1764,-5.000933,-5.000933
1/1/17 16:35,-5.07369,49.09103,-5.07369,-5.07369
1/1/17 16:40,-5.107454,49.17119,-5.107454,-5.107454
1/1/17 16:45,-5.233157,50.64311,-5.233157,-5.233157
1/1/17 16:50,-5.320183,51.26188,-5.320183,-5.320183
1/1/17 16:55,-5.321768,51.63382,-5.321768,-5.321768
1/1/17 17:00,-5.354898,52.1302,-5.354898,-5.354898
1/1/17 17:05,-5.474578,53.61922,-5.474578,-5.474578
1/1/17 17:10,-5.507073,53.49127,-5.507073,-5.507073
1/1/17 17:15,-5.571113,54.26505,-5.571113,-5.571113
1/1/17 17:20,-5.650845,55.0446,-5.650845,-5.650845
1/1/17 17:25,-5.842964,57.2612,-5.842964,-5.842964
1/1/17 17:30,-5.900028,58.72938,-5.900028,-5.900028
1/1/17 17:35,-5.931097,59.12827,-5.931097,-5.931097
1/1/17 17:40,-5.956142,60.19179,-5.956142,-5.956142
1/1/17 17:45,-6.084538,60.53056,-6.084538,-6.084538
1/1/17 17:50,-6.005439,60.43183,-6.005439,-6.005439
1/1/17 17:55,-6.016853,60.46783,-6.016853,-6.016853
1/1/17 18:00,-6.081209,60.38971,-6.081209,-6.081209
1/1/17 18:05,-5.946631,59.20527,-5.946631,-5.946631
1/1/17 18:10,-6.112278,59.42606,-6.112278,-6.112278
1/1/17 18:15,-6.266036,59.83479,-6.266036,-6.266036
1/1/17 18:20,-6.206276,59.846,-6.206276,-6.206276
1/1/17 18:25,-6.232589,59.16915,-6.232589,-6.232589
1/1/17 18:30,-6.377948,58.98357,-6.377948,-6.377948
1/1/17 18:35,-6.504921,59.62204,-6.504921,-6.504921
1/1/17 18:40,-6.336892,59.56713,-6.336892,-6.336892
1/1/17 18:45,-6.413456,59.74648,-6.413456,-6.413456
1/1/17 18:50,-6.563097,60.71659,-6.563097,-6.563097
1/1/17 18:55,-6.546611,60.39843,-6.546611,-6.546611
1/1/17 19:00,-6.562145,60.58808,-6.562145,-6.562145
1/1/17 19:05,-6.65662,60.98561,-6.65662,-6.65662
1/1/17 19:10,-6.662485,61.50158,-6.662485,-6.662485
1/1/17 19:15,-6.679287,61.22576,-6.679287,-6.679287
1/1/17 19:20,-6.467193,60.98301,-6.467193,-6.467193
1/1/17 19:25,-6.829241,61.7107,-6.829241,-6.829241
1/1/17 19:30,-6.979036,62.95719,-6.979036,-6.979036
1/1/17 19:35,-7.029127,62.99229,-7.029127,-7.029127
1/1/17 19:40,-6.981256,62.36005,-6.981256,-6.981256
1/1/17 19:45,-6.972379,61.81895,-6.972379,-6.972379
1/1/17 19:50,-6.735084,60.66949,-6.735084,-6.735084
1/1/17 19:55,-6.831302,61.91043,-6.831302,-6.831302
1/1/17 20:00,-6.722403,62.31238,-6.722403,-6.722403
1/1/17 20:05,-6.811171,62.70922,-6.811171,-6.811171
1/1/17 20:10,-6.988547,63.66417,-6.988547,-6.988547
1/1/17 20:15,-7.023578,63.93251,-7.023578,-7.023578
1/1/17 20:20,-7.065425,64.02954,-7.065425,-7.065425
1/1/17 20:25,-7.052269,64.38574,-7.052269,-7.052269
1/1/17 20:30,-7.047514,64.64877,-7.047514,-7.047514
1/1/17 20:35,-7.061305,64.92967,-7.061305,-7.061305
1/1/17 20:40,-7.104103,66.19326,-7.104103,-7.104103
1/1/17 20:45,-7.07351,65.87148,-7.07351,-7.07351
1/1/17 20:50,-7.045771,65.90228,-7.045771,-7.045771
1/1/17 20:55,-6.818938,65.76347,-6.818938,-6.818938
1/1/17 21:00,-6.778834,65.23843,-6.778834,-6.778834
1/1/17 21:05,-6.771384,65.45685,-6.771384,-6.771384
1/1/17 21:10,-6.766628,65.37295,-6.766628,-6.766628
1/1/17 21:15,-6.82623,66.15941,-6.82623,-6.82623
1/1/17 21:20,-6.825595,66.52218,-6.825595,-6.825595
1/1/17 21:25,-6.986645,67.27954,-6.986645,-6.986645
1/1/17 21:30,-7.060512,68.25486,-7.060512,-7.060512
1/1/17 21:35,-7.213319,68.98595,-7.213319,-7.213319
1/1/17 21:40,-7.352177,69.65409,-7.352177,-7.352177
1/1/17 21:45,-7.316829,69.83649,-7.316829,-7.316829
1/1/17 21:50,-7.320792,69.77388,-7.320792,-7.320792
1/1/17 21:55,-7.275456,68.84815,-7.275456,-7.275456
1/1/17 22:00,-7.464724,67.88687,-7.464724,-7.464724
1/1/17 22:05,-7.951999,69.64979,-7.951999,-7.951999
1/1/17 22:10,-7.842306,71.15363,-7.842306,-7.842306
1/1/17 22:15,-7.076522,68.72462,-7.076522,-7.076522
1/1/17 22:20,-6.845568,67.59623,-6.845568,-6.845568
1/1/17 22:25,-6.688006,66.61514,-6.688006,-6.688006
1/1/17 22:30,-6.624759,66.64322,-6.624759,-6.624759
1/1/17 22:35,-6.635538,65.98618,-6.635538,-6.635538
1/1/17 22:40,-6.408225,64.76844,-6.408225,-6.408225
1/1/17 22:45,-6.405214,63.40997,-6.405214,-6.405214
1/1/17 22:50,-6.289971,61.27195,-6.289971,-6.289971
1/1/17 22:55,-6.08105,59.29222,-6.08105,-6.08105
1/1/17 23:00,-6.100865,59.96239,-6.100865,-6.100865
1/1/17 23:05,-6.05981,60.81249,-6.05981,-6.05981
1/1/17 23:10,-5.982138,59.72667,-5.982138,-5.982138
1/1/17 23:15,-5.903832,59.76992,-5.903832,-5.903832
1/1/17 23:20,-5.934425,60.11514,-5.934425,-5.934425
1/1/17 23:25,-5.85184,57.88178,-5.85184,-5.85184
1/1/17 23:30,-5.874983,58.00995,-5.874983,-5.874983
1/1/17 23:35,-5.957568,58.3502,-5.957568,-5.957568
1/1/17 23:40,-5.992441,58.58332,-5.992441,-5.992441
1/1/17 23:45,-5.991332,58.71953,-5.991332,-5.991332
1/1/17 23:50,-5.875618,57.7056,-5.875618,-5.875618
1/1/17 23:55,-5.961531,59.08321,-5.961531,-5.961531
1/2/17 0:00,-6.095158,59.8502,-6.095158,-6.095158
1/2/17 0:05,-6.262548,60.61695,-6.262548,-6.262548
1/2/17 0:10,-6.233223,59.9427,-6.233223,-6.233223
1/2/17 0:15,-6.222444,59.31238,-6.222444,-6.222444
1/2/17 0:20,-6.234174,59.35121,-6.234174,-6.234174
1/2/17 0:25,-6.250185,59.14865,-6.250185,-6.250185
1/2/17 0:30,-6.250501,59.11016,-6.250501,-6.250501
1/2/17 0:35,-6.329759,59.64458,-6.329759,-6.329759
1/2/17 0:40,-6.331503,58.75271,-6.331503,-6.331503
1/2/17 0:45,-6.469889,59.29098,-6.469889,-6.469889
1/2/17 0:50,-6.62999,60.01369,-6.62999,-6.62999
1/2/17 0:55,-6.485264,58.53848,-6.485264,-6.485264
1/2/17 1:00,-6.327223,56.72995,-6.327223,-6.327223
1/2/17 1:05,-6.222286,56.41949,-6.222286,-6.222286
1/2/17 1:10,-6.26239,56.28407,-6.26239,-6.26239
1/2/17 1:15,-6.589409,57.80649,-6.589409,-6.589409
1/2/17 1:20,-6.910558,59.55117,-6.910558,-6.910558
1/2/17 1:25,-6.738255,59.29471,-6.738255,-6.738255
1/2/17 1:30,-6.637123,58.85823,-6.637123,-6.637123
1/2/17 1:35,-6.641878,56.94836,-6.641878,-6.641878
1/2/17 1:40,-6.703856,56.1782,-6.703856,-6.703856
1/2/17 1:45,-6.486533,55.21501,-6.486533,-6.486533
1/2/17 1:50,-6.402043,54.5172,-6.402043,-6.402043
1/2/17 1:55,-6.369547,54.32291,-6.369547,-6.369547
1/2/17 2:00,-6.265085,54.53475,-6.265085,-6.265085
1/2/17 2:05,-6.35639,54.96761,-6.35639,-6.35639
1/2/17 2:10,-6.349574,55.01414,-6.349574,-6.349574
1/2/17 2:15,-6.362731,55.1328,-6.362731,-6.362731
1/2/17 2:20,-6.416944,55.57517,-6.416944,-6.416944
1/2/17 2:25,-6.331502,54.99365,-6.331502,-6.331502
1/2/17 2:30,-6.339428,54.44485,-6.339428,-6.339428
1/2/17 2:35,-6.340696,54.24659,-6.340696,-6.340696
1/2/17 2:40,-6.4366,54.75214,-6.4366,-6.4366
1/2/17 2:45,-6.384289,54.86514,-6.384289,-6.384289
1/2/17 2:50,-6.391739,55.27127,-6.391739,-6.391739
1/2/17 2:55,-6.326589,55.0052,-6.326589,-6.326589
1/2/17 3:00,-6.326906,54.75531,-6.326906,-6.326906
1/2/17 3:05,-6.495727,55.74127,-6.495727,-6.495727
1/2/17 3:10,-6.552001,55.52332,-6.552001,-6.552001
1/2/17 3:15,-6.599397,55.46014,-6.599397,-6.599397
1/2/17 3:20,-6.420748,53.27015,-6.420748,-6.420748
1/2/17 3:25,-6.556122,54.63348,-6.556122,-6.556122
1/2/17 3:30,-6.456731,52.98799,-6.456731,-6.456731
1/2/17 3:35,-6.236681,51.0999,-6.236681,-6.236681
1/2/17 3:40,-6.369823,52.97671,-6.369823,-6.369823
1/2/17 3:45,-6.527542,53.97956,-6.527542,-6.527542
1/2/17 3:50,-6.523089,53.51556,-6.523089,-6.523089
1/2/17 3:55,-6.612062,53.50828,-6.612062,-6.612062
1/2/17 4:00,-6.548862,52.88868,-6.548862,-6.548862
1/2/17 4:05,-6.468767,52.6995,-6.468767,-6.468767
1/2/17 4:10,-6.445691,53.74271,-6.445691,-6.445691
1/2/17 4:15,-6.460314,55.18324,-6.460314,-6.460314
1/2/17 4:20,-6.479356,56.20168,-6.479356,-6.479356
1/2/17 4:25,-6.52899,56.97861,-6.52899,-6.52899
1/2/17 4:30,-6.494595,56.67778,-6.494595,-6.494595
1/2/17 4:35,-6.578291,57.72205,-6.578291,-6.578291
1/2/17 4:40,-6.688458,59.2234,-6.688458,-6.688458
1/2/17 4:45,-6.819074,60.76395,-6.819074,-6.819074
1/2/17 4:50,-6.846021,61.5692,-6.846021,-6.846021
1/2/17 4:55,-6.947944,63.71424,-6.947944,-6.947944
1/2/17 5:00,-7.025775,63.87751,-7.025775,-7.025775
1/2/17 5:05,-7.016898,63.64846,-7.016898,-7.016898
1/2/17 5:10,-7.038773,61.65411,-7.038773,-7.038773
1/2/17 5:15,-7.04971,59.42642,-7.04971,-7.04971
1/2/17 5:20,-7.214723,60.45948,-7.214723,-7.214723
1/2/17 5:25,-7.381321,60.40287,-7.381321,-7.381321
1/2/17 5:30,-7.393685,60.07055,-7.393685,-7.393685
1/2/17 5:35,-7.265923,57.58018,-7.265923,-7.265923
1/2/17 5:40,-7.306027,56.19204,-7.306027,-7.306027
1/2/17 5:45,-7.575823,54.5273,-7.575823,-7.575823
1/2/17 5:50,-7.53128,53.08437,-7.53128,-7.53128
1/2/17 5:55,-7.473737,52.83821,-7.473737,-7.473737
1/2/17 6:00,-7.379102,53.31919,-7.379102,-7.379102
1/2/17 6:05,-7.279714,54.84705,-7.279714,-7.279714
1/2/17 6:10,-7.20331,55.95008,-7.20331,-7.20331
1/2/17 6:15,-7.271946,59.06218,-7.271946,-7.271946
1/2/17 6:20,-7.39099,62.00375,-7.39099,-7.39099
1/2/17 6:25,-7.438704,63.30991,-7.438704,-7.438704
1/2/17 6:30,-7.45313,63.94148,-7.45313,-7.45313
1/2/17 6:35,-7.460739,64.64042,-7.460739,-7.460739
1/2/17 6:40,-7.502746,65.33743,-7.502746,-7.502746
1/2/17 6:45,-7.487052,65.7447,-7.487052,-7.487052
1/2/17 6:50,-7.576458,66.7447,-7.576458,-7.576458
1/2/17 6:55,-7.568531,66.28444,-7.568531,-7.568531
1/2/17 7:00,-7.643351,67.50851,-7.643351,-7.643351
1/2/17 7:05,-7.75859,68.57792,-7.75859,-7.75859
1/2/17 7:10,-7.761601,68.63544,-7.761601,-7.761601
1/2/17 7:15,-7.765723,68.59286,-7.765723,-7.765723
1/2/17 7:20,-7.785854,69.40672,-7.785854,-7.785854
1/2/17 7:25,-7.770479,68.74979,-7.770479,-7.770479
1/2/17 7:30,-7.697721,68.10996,-7.697721,-7.697721
1/2/17 7:35,-7.46597,66.11335,-7.46597,-7.46597
1/2/17 7:40,-7.322671,64.80232,-7.322671,-7.322671
1/2/17 7:45,-7.348033,65.27674,-7.348033,-7.348033
1/2/17 7:50,-7.649691,68.20949,-7.649691,-7.649691
1/2/17 7:55,-7.776819,69.74685,-7.776819,-7.776819
1/2/17 8:00,-7.751774,70.32327,-7.751774,-7.751774
1/2/17 8:05,-7.816606,72.6103,-7.816606,-7.816606
1/2/17 8:10,-7.859404,73.77153,-7.859404,-7.859404
1/2/17 8:15,-7.83214,73.71163,-7.83214,-7.83214
1/2/17 8:20,-7.51733,70.46288,-7.51733,-7.51733
1/2/17 8:25,-7.74797,73.95631,-7.74797,-7.74797
1/2/17 8:30,-7.788866,74.2593,-7.788866,-7.788866
1/2/17 8:35,-7.556484,73.33302,-7.556484,-7.556484
1/2/17 8:40,-7.467872,73.32226,-7.467872,-7.467872
1/2/17 8:45,-7.343119,72.96436,-7.343119,-7.343119
1/2/17 8:50,-7.335351,74.46028,-7.335351,-7.335351
1/2/17 8:55,-7.298735,75.97353,-7.298735,-7.298735
1/2/17 9:00,-7.256412,75.26428,-7.256412,-7.256412
